seed,trial,original_action,q_margin,saliency_values,changed,faithful_top_salient,faithful_least_salient,faithful_random
1,18,3,2.3684206008911133,"[1.4302815198898315, 1.4536973237991333, 0.28967317938804626]","[False, False, False]",False,False,False
1,19,0,0.005644798278808594,"[0.9125209450721741, 1.1384947299957275, 1.2483189105987549]","[False, False, True]",True,False,False
1,20,0,0.1238851547241211,"[1.5114940404891968, 0.8867712020874023, 1.1386239528656006]","[False, False, False]",False,False,False
1,21,0,0.21088790893554688,"[0.9270325303077698, 0.9557230472564697, 0.9809402823448181]","[False, False, False]",False,False,False
1,22,3,1.9260406494140625,"[1.2403615713119507, 0.8082295656204224, 1.7694809436798096]","[False, False, False]",False,False,False
1,23,3,0.1643686294555664,"[0.9622687101364136, 1.337665319442749, 1.147094964981079]","[False, False, False]",False,False,False
1,24,0,0.15701866149902344,"[1.0913230180740356, 0.9678571820259094, 1.0812788009643555]","[False, False, False]",False,False,False
1,25,0,0.08869266510009766,"[1.3997677564620972, 0.8589268326759338, 1.047755479812622]","[True, False, False]",True,False,True
1,26,0,0.02621936798095703,"[0.9926145672798157, 1.182706594467163, 1.095360517501831]","[False, True, True]",True,False,False
1,27,3,0.09759330749511719,"[1.1666064262390137, 1.0937559604644775, 0.7400625944137573]","[False, False, False]",False,False,False
1,28,0,0.13943195343017578,"[1.156530737876892, 1.063415288925171, 0.9760362505912781]","[False, False, False]",False,False,False
1,29,0,0.06705236434936523,"[1.5074827671051025, 1.571768045425415, 0.6565877795219421]","[True, True, False]",True,False,True
1,30,0,1.225438117980957,"[0.9586136937141418, 1.1583861112594604, 0.14288994669914246]","[False, False, True]",False,True,False
1,31,3,0.12611007690429688,"[1.2346489429473877, 0.8177947402000427, 0.990746021270752]","[True, False, False]",True,False,False
1,32,3,0.36516380310058594,"[0.6025864481925964, 1.797729253768921, 0.9915745258331299]","[False, False, False]",False,False,False
1,33,3,0.07273101806640625,"[1.0585806369781494, 0.992179811000824, 1.3142086267471313]","[True, False, False]",False,False,False
1,34,3,0.8638601303100586,"[0.5401799082756042, 0.9478583931922913, 1.2989860773086548]","[False, False, True]",True,False,False
1,35,3,1.4966020584106445,"[0.9645781517028809, 0.6158896088600159, 1.2066771984100342]","[False, False, False]",False,False,False
1,36,3,0.21659183502197266,"[1.0256556272506714, 0.9402245879173279, 0.7001710534095764]","[False, False, False]",False,False,False
1,37,3,0.011335372924804688,"[1.0544761419296265, 1.4998234510421753, 0.9106115698814392]","[False, True, False]",True,False,False
1,38,0,1.0742864608764648,"[0.8157327175140381, 1.0923482179641724, 1.2067711353302002]","[False, False, False]",False,False,False
1,39,3,0.13394451141357422,"[1.0320435762405396, 0.9846696853637695, 0.8732326626777649]","[True, False, False]",True,False,False
1,40,3,2.5726394653320312,"[1.0223866701126099, 0.9008368849754333, 0.74806147813797]","[False, False, False]",False,False,False
